timestamp,src_ip,dst_ip,protocol,size
1776062462.9626317,52.114.113.249,10.52.3.136,17,114
1776062462.9628851,52.114.113.249,10.52.3.136,17,195
1776062462.963152,52.114.113.249,10.52.3.136,17,191
1776062462.9769626,10.52.2.115,224.0.0.251,17,100
1776062462.9828906,52.114.113.249,10.52.3.136,17,187
1776062463.0663493,52.114.113.249,10.52.3.136,17,182
1776062463.0667338,52.114.113.249,10.52.3.136,17,182
1776062463.0670607,52.114.113.249,10.52.3.136,17,177
1776062463.067405,52.114.113.249,10.52.3.136,17,175
1776062463.0726056,10.52.1.64,10.52.63.255,17,205
1776062463.0779374,10.52.0.231,224.0.0.22,2,54
1776062463.080927,10.52.3.136,35.223.238.178,6,55
1776062463.0813096,10.52.3.136,35.223.238.178,6,55
1776062463.0817523,52.114.113.249,10.52.3.136,17,172
1776062463.147649,10.52.3.136,52.114.113.249,17,158
1776062463.148159,10.52.3.136,52.114.113.249,17,158
1776062463.1561952,52.114.113.249,10.52.3.136,17,170
1776062463.1566203,52.114.113.249,10.52.3.136,17,167
1776062463.156949,104.208.16.95,10.52.3.136,6,60
1776062463.1572402,104.208.16.95,10.52.3.136,6,60
1776062463.1575701,104.208.16.95,10.52.3.136,6,60
1776062463.1578517,104.208.16.95,10.52.3.136,6,60
1776062463.1581883,52.114.113.249,10.52.3.136,17,161
1776062463.164055,52.114.113.249,10.52.3.136,17,159
1776062463.1645167,104.208.16.95,10.52.3.136,6,161
1776062463.1653605,10.52.3.136,104.208.16.95,6,89
1776062463.181728,52.114.113.249,10.52.3.136,17,154
1776062463.1925082,10.52.3.207,224.0.0.251,17,103
1776062463.2028368,52.114.113.249,10.52.3.136,17,152
1776062463.2712662,52.114.113.249,10.52.3.136,17,143
1776062463.2717023,52.114.113.249,10.52.3.136,17,144
1776062463.2721472,52.114.113.249,10.52.3.136,17,114
1776062463.2725596,52.114.113.249,10.52.3.136,17,114
1776062463.2729807,52.114.113.249,10.52.3.136,17,138
1776062463.273592,10.52.2.20,224.0.0.251,17,98
1776062463.2753332,10.52.4.95,224.0.0.251,17,87
1776062463.278803,10.52.3.136,192.168.170.51,17,92
1776062463.2826314,192.168.170.51,10.52.3.136,17,215
1776062463.282929,52.114.113.249,10.52.3.136,17,135
1776062463.2831748,10.52.3.136,20.189.173.23,6,66
1776062463.3716457,52.114.113.249,10.52.3.136,17,147
1776062463.3720288,35.223.238.178,10.52.3.136,6,66
1776062463.372317,35.223.238.178,10.52.3.136,6,66
1776062463.3726907,52.114.113.249,10.52.3.136,17,161
1776062463.3730528,52.114.113.249,10.52.3.136,17,146
1776062463.3733816,52.114.113.249,10.52.3.136,17,135
1776062463.3812823,52.114.113.249,10.52.3.136,17,148
1776062463.4380577,10.52.3.136,52.114.113.249,17,182
1776062463.4454515,52.114.113.249,10.52.3.136,17,143
1776062463.4458146,52.114.113.249,10.52.3.136,17,136
1776062463.4461434,104.208.16.95,10.52.3.136,6,60
1776062463.4465327,52.114.113.249,10.52.3.136,17,137
1776062463.4583132,10.52.2.156,224.0.0.251,17,430
1776062463.4609137,52.114.113.249,10.52.3.136,17,132
1776062463.536425,10.52.3.136,35.190.80.1,6,55
1776062463.5440896,52.114.113.249,10.52.3.136,17,174
1776062463.544384,52.114.113.249,10.52.3.136,17,136
1776062463.5446563,52.114.113.249,10.52.3.136,17,140
1776062463.544907,52.114.113.249,10.52.3.136,17,132
1776062463.5451794,52.114.113.249,10.52.3.136,17,135
1776062463.5552945,10.52.0.2,224.0.0.5,89,94
1776062463.5558136,10.52.0.11,224.0.0.6,89,94
1776062463.5572555,10.52.0.4,224.0.0.6,89,94
1776062463.5589705,10.52.0.6,224.0.0.6,89,94
1776062463.55968,10.52.0.7,224.0.0.6,89,94
1776062463.5603523,10.52.0.5,224.0.0.6,89,94
1776062463.5625544,20.189.173.23,10.52.3.136,6,66
1776062463.562999,52.114.113.249,10.52.3.136,17,132
1776062463.5632348,10.52.3.136,20.189.173.23,6,54
1776062463.5635571,10.52.3.136,20.189.173.23,6,571
1776062463.6290066,10.52.3.136,52.114.113.249,17,158
1776062463.6390398,52.114.113.249,10.52.3.136,17,149
1776062463.6396656,52.114.113.249,10.52.3.136,17,174
1776062463.6399915,35.190.80.1,10.52.3.136,6,66
1776062463.6403482,52.114.113.249,10.52.3.136,17,152
1776062463.6407557,52.114.113.249,10.52.3.136,17,79
1776062463.6410956,10.52.2.6,224.0.0.22,2,54
1776062463.6534333,10.52.0.3,224.0.0.6,89,94
1776062463.6541371,10.52.0.9,224.0.0.5,89,94
1776062463.693221,20.189.173.23,10.52.3.136,6,60
1776062463.6964772,52.114.113.249,10.52.3.136,17,174
1776062463.7829778,52.114.113.249,10.52.3.136,17,143
1776062463.7834368,52.114.113.249,10.52.3.136,17,114
1776062463.7838144,52.114.113.249,10.52.3.136,17,154
1776062463.7841525,52.114.113.249,10.52.3.136,17,153
1776062463.784509,52.114.113.249,10.52.3.136,17,152
1776062463.884485,52.114.113.249,10.52.3.136,17,155
1776062463.8850834,52.114.113.249,10.52.3.136,17,156
1776062463.8854814,52.114.113.249,10.52.3.136,17,163
1776062463.8858776,20.189.173.23,10.52.3.136,6,153
1776062463.8864586,52.114.113.249,10.52.3.136,17,154
1776062463.8873029,52.114.113.249,10.52.3.136,17,148
1776062463.888063,10.52.3.136,20.189.173.23,6,491
1776062463.9891212,52.114.113.249,10.52.3.136,17,154
1776062463.9894094,52.114.113.249,10.52.3.136,17,159
1776062463.9899938,52.114.113.249,10.52.3.136,17,154
1776062463.9903991,52.114.113.249,10.52.3.136,17,157
1776062463.9908237,52.114.113.249,10.52.3.136,17,153
1776062463.9969356,10.52.3.136,52.114.113.249,17,158
1776062464.0022037,52.114.113.249,10.52.3.136,17,158
1776062464.088354,52.114.113.249,10.52.3.136,17,159
1776062464.089081,52.114.113.249,10.52.3.136,17,163
1776062464.0896418,52.114.113.249,10.52.3.136,17,153
1776062464.09014,52.114.113.249,10.52.3.136,17,151
1776062464.192973,52.114.113.249,10.52.3.136,17,156
1776062464.1936226,52.114.113.249,10.52.3.136,17,114
1776062464.1941917,52.114.113.249,10.52.3.136,17,153
1776062464.195386,52.114.113.249,10.52.3.136,17,153
1776062464.1957798,52.114.113.249,10.52.3.136,17,155
1776062464.1963444,20.189.173.23,10.52.3.136,6,1514
1776062464.196874,20.189.173.23,10.52.3.136,6,1514
1776062464.19731,20.189.173.23,10.52.3.136,6,1514
1776062464.1976597,20.189.173.23,10.52.3.136,6,60
1776062464.1979213,10.52.3.136,20.189.173.23,6,54
1776062464.1982505,52.114.113.249,10.52.3.136,17,155
1776062464.1985636,52.114.113.249,10.52.3.136,17,154
1776062464.198947,10.52.3.136,20.189.173.23,6,1494
1776062464.1992898,10.52.3.136,20.189.173.23,6,568
1776062464.2037098,52.114.113.249,10.52.3.136,17,153
1776062464.294829,52.114.113.249,10.52.3.136,17,161
1776062464.2952924,52.114.113.249,10.52.3.136,17,165
1776062464.295866,52.114.113.249,10.52.3.136,17,151
1776062464.2963045,52.114.113.249,10.52.3.136,17,154
1776062464.3026004,10.52.3.136,52.114.113.249,17,182
1776062464.3043401,52.114.113.249,10.52.3.136,17,152
1776062464.309609,10.52.2.51,224.0.0.251,17,100
1776062464.315211,10.52.3.136,52.114.113.249,17,158
1776062464.31585,10.52.3.136,52.114.113.249,17,158
1776062464.322947,52.114.113.249,10.52.3.136,17,158
1776062464.3427773,52.114.113.249,10.52.3.136,17,158
1776062464.3955991,52.114.113.249,10.52.3.136,17,154
1776062464.3960223,52.114.113.249,10.52.3.136,17,155
1776062464.3963752,52.114.113.249,10.52.3.136,17,114
1776062464.3967113,52.114.113.249,10.52.3.136,17,114
1776062464.402019,52.114.113.249,10.52.3.136,17,149
1776062464.4965417,10.52.2.87,224.0.0.251,17,133
1776062464.6504118,10.52.3.136,35.223.238.178,6,55
1776062464.6583552,10.52.0.7,224.0.0.5,89,106
1776062464.659363,52.114.113.249,10.52.3.136,17,150
1776062464.6597857,52.114.113.249,10.52.3.136,17,86
1776062464.6603644,52.114.113.249,10.52.3.136,17,1262
1776062464.66082,52.114.113.249,10.52.3.136,17,1262
1776062464.6612346,52.98.18.2,10.52.3.136,17,82
1776062464.6617868,52.114.113.249,10.52.3.136,17,153
1776062464.6623719,52.114.113.249,10.52.3.136,17,154
1776062464.6627452,20.189.173.23,10.52.3.136,6,60
1776062464.6637428,52.114.113.249,10.52.3.136,17,141
1776062464.6640284,52.114.113.249,10.52.3.136,17,146
1776062464.6643004,52.114.113.249,10.52.3.136,17,141
1776062464.665339,52.114.113.249,10.52.3.136,17,127
1776062464.6657047,52.114.113.249,10.52.3.136,17,129
1776062464.666053,52.114.113.249,10.52.3.136,17,125
1776062464.6663616,52.114.113.249,10.52.3.136,17,126
1776062464.6666126,20.189.173.23,10.52.3.136,6,157
1776062464.6668897,52.114.113.249,10.52.3.136,17,132
1776062464.6674457,52.98.18.2,10.52.3.136,17,1514
1776062464.6677878,52.114.113.249,10.52.3.136,17,127
1776062464.668331,52.114.113.249,10.52.3.136,17,124
1776062464.6750274,10.52.3.136,52.98.18.2,17,81
1776062464.700414,10.52.3.136,20.189.173.23,6,54
1776062464.7025654,52.114.113.249,10.52.3.136,17,127
1776062464.703125,52.114.113.249,10.52.3.136,17,138
1776062464.7954023,10.52.3.136,52.114.113.249,17,158
1776062464.8111925,10.52.3.136,52.114.113.249,17,242
1776062464.8135076,52.114.113.249,10.52.3.136,17,127
1776062464.814024,52.114.113.249,10.52.3.136,17,124
1776062464.81438,52.114.113.249,10.52.3.136,17,153
1776062464.8148937,20.189.173.23,10.52.3.136,6,518
1776062464.815206,10.52.3.136,20.189.173.23,6,54
1776062464.8155575,52.114.113.249,10.52.3.136,17,170
1776062464.8159835,52.114.113.249,10.52.3.136,17,160
1776062464.8163252,10.52.3.136,20.189.173.23,6,78
1776062464.816645,10.52.3.136,20.189.173.23,6,54
1776062464.817024,10.52.3.136,52.114.113.249,17,98
1776062464.817423,10.52.3.136,52.114.113.249,17,1274
1776062464.8188002,10.52.3.136,52.114.113.249,17,1274
1776062464.8193715,10.52.3.136,52.114.113.249,17,1274
1776062464.8207896,10.52.3.136,52.114.113.249,17,1274
1776062464.8211646,10.52.0.6,224.0.0.5,89,106
1776062464.8236046,52.114.113.249,10.52.3.136,17,162
1776062464.910037,52.114.113.249,10.52.3.136,17,158
1776062464.9105587,52.114.113.249,10.52.3.136,17,156
1776062464.9110339,52.114.113.249,10.52.3.136,17,114
1776062464.9120154,35.223.238.178,10.52.3.136,6,66
1776062464.9124947,52.114.113.249,10.52.3.136,17,156
1776062464.9128165,52.114.113.249,10.52.3.136,17,160
1776062464.9145994,10.52.3.105,224.0.0.251,17,386
1776062464.9226403,52.114.113.249,10.52.3.136,17,148
1776062464.9429514,52.114.113.249,10.52.3.136,17,156
1776062465.012142,52.114.113.249,10.52.3.136,17,147
1776062465.012629,52.114.113.249,10.52.3.136,17,156
1776062465.0130246,52.114.113.249,10.52.3.136,17,157
1776062465.025316,52.114.113.249,10.52.3.136,17,157
1776062465.126678,10.52.3.136,104.18.39.21,6,145
